                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.1888,                 1.0248,                 1.3507,                0.60201,                0.72418,                0.70608,                0.39416,                 1.6101,                 1.0559,                 1.7922,              0.0005347,              0.0005347,              0.0005347
                     97,                 1.2027,                 1.0564,                 1.3771,                0.57531,                0.77202,                0.70346,                0.43479,                 1.5516,                 1.0924,                 1.6705,             0.00052975,             0.00052975,             0.00052975
                     98,                 1.1759,                 1.0294,                 1.3534,                0.63634,                0.78662,                0.71339,                 0.4355,                 1.5452,                 1.0821,                  1.678,              0.0005248,              0.0005248,              0.0005248
                     99,                 1.1818,                 1.0334,                 1.3627,                0.60889,                 0.7474,                0.70938,                0.40888,                 1.6361,                 1.0605,                  1.751,             0.00051985,             0.00051985,             0.00051985
                    100,                 1.1796,                 1.0348,                 1.3638,                   0.71,                0.75077,                0.75792,                0.43322,                 1.6315,                 1.0972,                 1.7318,              0.0005149,              0.0005149,              0.0005149
                    101,                 1.1637,                 1.0141,                 1.3621,                0.68246,                0.76074,                0.76351,                0.42887,                 1.6394,                  1.008,                 1.8148,             0.00050995,             0.00050995,             0.00050995
                    102,                 1.1606,                 1.0106,                 1.3453,                0.59915,                0.75115,                0.74142,                0.41577,                 1.5815,                 1.1233,                 1.7141,               0.000505,               0.000505,               0.000505
                    103,                 1.1715,                 1.0229,                 1.3603,                0.61003,                0.70139,                0.67262,                0.38928,                  1.703,                 1.0453,                 1.8561,             0.00050005,             0.00050005,             0.00050005
                    104,                 1.1602,                 1.0328,                 1.3491,                0.57609,                0.72287,                0.68348,                0.40017,                 1.6158,                 1.0633,                 1.7513,              0.0004951,              0.0004951,              0.0004951
                    105,                 1.1635,                 1.0098,                 1.3457,                0.59588,                0.80628,                0.72209,                0.43392,                  1.589,                 1.0742,                 1.7464,             0.00049015,             0.00049015,             0.00049015
